timestamp (ns),alpha,phi,alphaD,phiD,k,u_tracking_fb,u_stabilizing_fb,u_ff,u_ilc,u_optimal,phase,alpha_optimal,alphaD_optimal,phi_optimal,phiD_optimal,N_j,relative_time
1763394045998313967,1.0108188485253367,2.339854935848821,-0.0069963519455429335,0.003580100602640357,-4,0.0,0.0,-0.0831738606359868,0.0,-0.0831738606359868,1,1.0268269519241442,3.7233008791215657e-19,2.3559924932831313,2.146625549150706e-19,48,0.0
1763394046008233337,1.0108625912861464,2.3398822336547287,0.0043742760809761805,0.0027297805907711137,-3,0.0,0.0,-0.0831738606359868,0.0,-0.0831738606359868,1,1.0268269519241442,3.7233008791215657e-19,2.3559924932831313,2.146625549150706e-19,48,0.00991937
1763394046018265883,1.0113452630615631,2.3399639508312817,0.04826717754167209,0.008171717655303112,-2,0.0,0.0,-0.0831738606359868,0.0,-0.0831738606359868,1,1.0268269519241442,3.7233008791215657e-19,2.3559924932831313,2.146625549150706e-19,48,0.019951916
1763394046028328464,1.0113711705772297,2.3401542524064416,0.002590751566655669,0.0190301575159868,-1,0.0,0.0,-0.0831738606359868,0.0,-0.0831738606359868,1,1.0268269519241442,3.7233008791215657e-19,2.3559924932831313,2.146625549150706e-19,48,0.030014497
1763394046038379870,1.0071113548201869,2.3411965189093467,-0.42598157570428175,0.10422665029050648,0,0.0020105827658015844,0.0,-0.0831738606359868,0.0,-0.0831738606359868,1,1.0268269519241442,3.7233008791215657e-19,2.3559924932831313,2.146625549150706e-19,48,0.040065903
1763394046048372110,0.9983712912602145,2.3401808372321162,-0.8740063559972366,-0.10156816772304289,1,0.002032076516001706,0.0,-0.07817053034288907,0.0,-0.07817053034288907,1,1.0243925893234267,-0.5445171422238577,2.3563436511753473,-0.07687202714882926,48,0.050058143
1763394046058203609,0.9865176620326408,2.3324850563782555,-1.1853629227573714,-0.769578085386069,2,0.00042306071768845517,0.0,-0.07324074265775828,0.0,-0.07324074265775828,1,1.0155741431390497,-1.2292634297536795,2.352678472799101,-0.6888758956534183,48,0.059889642
1763394046068255801,0.9723236344570543,2.3163318036075577,-1.419402757558652,-1.615325277069779,3,-0.0013978788234775834,0.0,-0.06838241004302618,0.0,-0.06838241004302618,1,0.9998137196993513,-1.9187255690420217,2.3422809024418356,-1.3917593682745524,48,0.069941834
1763394046078303447,0.9551566148799906,2.2932417457554024,-1.716701957706368,-2.3090057852155343,4,-0.0030731348985800324,0.0,-0.06359557277854344,0.0,-0.06359557277854344,1,0.9773652397401182,-2.5629449713643164,2.324904907401181,-2.0755093134116147,48,0.07998948
1763394046088208715,0.9325255824800687,2.2669838933058992,-2.2631032399921924,-2.6257852449503183,5,-0.004206122522147899,0.0,-0.058881104347704265,0.0,-0.058881104347704265,1,0.9487612353384888,-3.1488639760424286,2.3009340285018176,-2.7081590695607796,48,0.089894748
